Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,16.73,16.79,15.75,15.87,14054300,0,0
2020-05-14,15.4,17.18,15.17,17.07,11878200,0,0
2020-05-15,16.79,17.13,16.45,16.54,6019200,0,0
2020-05-18,17.65,18.11,17.56,17.96,7789000,0,0
2020-05-19,17.8,18.25,17.23,17.63,8177900,0,0
2020-05-20,18.06,18.42,17.98,18.11,8362400,0,0
2020-05-21,18.08,18.36,17.85,18.13,4733900,0,0
2020-05-22,18.08,18.15,17.55,17.85,4521200,0,0
2020-05-26,19.0,19.75,18.9,19.48,6925800,0,0
2020-05-27,20.95,21.4,20.17,21.35,14811800,0,0
2020-05-28,22.01,22.34,21.01,21.24,10114700,0,0
2020-05-29,20.55,21.12,20.23,20.37,9237200,0,0
2020-06-01,20.47,21.28,20.19,21.1,5751000,0,0
2020-06-02,21.52,22.39,21.5,22.07,11442600,0,0
2020-06-03,22.89,24.1,22.75,23.69,11010800,0,0
2020-06-04,23.42,24.48,22.94,24.33,8537100,0,0
2020-06-05,26.75,27.5,25.35,25.52,13586600,0,0
2020-06-08,26.91,27.0,26.12,26.87,11088700,0,0
2020-06-09,25.77,26.17,25.36,25.86,6656100,0,0
2020-06-10,25.59,25.71,24.15,24.37,8059100,0,0
2020-06-11,22.16,23.32,21.99,22.15,9077500,0,0
2020-06-12,23.78,23.82,22.4,23.77,9479500,0,0
