Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,49.25,49.29,45.87,46.69,5348100,0,0
2020-05-14,45.56,48.08,44.17,47.98,5468900,0,0
2020-05-15,47.43,47.84,46.26,47.62,7648800,0,0
2020-05-18,50.29,53.67,50.25,52.7,6195600,0,0
2020-05-19,52.41,53.44,50.47,51.38,3769800,0,0
2020-05-20,52.74,53.24,52.05,52.58,3562500,0,0
2020-05-21,52.59,53.84,52.14,52.48,3555100,0,0
2020-05-22,52.79,52.8,51.17,51.75,3537500,0,0
2020-05-26,53.75,55.63,53.13,55.11,4736800,0,0
2020-05-27,56.0,57.75,55.36,56.95,5737800,0,0
2020-05-28,57.52,57.6,55.37,55.95,4973700,0,0
2020-05-29,55.27,56.59,54.45,55.16,9024400,0,0
2020-06-01,56.14,57.77,55.59,57.18,3068200,0,0
2020-06-02,57.31,57.68,56.11,56.64,2869800,0,0
2020-06-03,57.99,59.65,57.9,59.1,3076400,0,0
2020-06-04,58.59,59.48,57.34,58.59,2880100,0,0
2020-06-05,63.37,64.38,61.14,61.59,6726900,0,0
2020-06-08,65.01,65.01,63.18,64.11,6450100,0,0
2020-06-09,62.89,62.89,60.15,61.39,5418700,0,0
2020-06-10,61.47,61.58,56.93,56.99,6988000,0,0
2020-06-11,53.86,55.34,53.02,53.37,6348400,0,0
2020-06-12,55.67,56.15,52.7,54.26,4363000,0,0
