Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,70.3,70.96,67.79,68.33,1082800,0.0,0
2020-05-14,67.44,69.56,66.2,69.42,2054000,0.0,0
2020-05-15,68.71,69.82,68.4,69.61,3278900,0.0,0
2020-05-18,72.39,76.15,72.13,75.8,1640200,0.0,0
2020-05-19,75.98,77.28,74.98,75.9,1540100,0.0,0
2020-05-20,77.11,78.88,76.9,77.87,2286000,0.0,0
2020-05-21,77.4,78.15,76.12,76.29,1531900,0.48,0
2020-05-22,76.34,76.68,74.9,76.23,1186300,0.0,0
2020-05-26,79.27,81.21,78.74,80.62,1729600,0.0,0
2020-05-27,81.92,83.32,80.58,83.22,1740600,0.0,0
2020-05-28,83.85,85.48,82.33,82.78,3425100,0.0,0
2020-05-29,82.31,82.31,79.55,81.25,4787700,0.0,0
2020-06-01,82.5,84.7,81.63,84.53,2366600,0.0,0
2020-06-02,85.04,86.32,84.5,86.27,2316800,0.0,0
2020-06-03,87.95,90.02,87.01,89.1,2334300,0.0,0
2020-06-04,88.08,89.28,87.34,88.82,1747400,0.0,0
2020-06-05,91.81,92.91,90.99,91.04,2753400,0.0,0
2020-06-08,91.87,92.46,90.43,91.65,1977300,0.0,0
2020-06-09,89.7,89.91,87.0,87.08,2764800,0.0,0
2020-06-10,87.53,87.53,85.1,85.14,2806300,0.0,0
2020-06-11,82.63,82.66,78.59,78.87,1525400,0.0,0
2020-06-12,81.7,83.04,77.66,78.59,3650100,0.0,0
