Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,32.24,32.44,30.18,31.18,9941400,0.0,0
2020-05-14,30.69,32.35,29.87,32.06,8855100,0.45,0
2020-05-15,31.53,32.13,31.19,31.35,7437100,0.0,0
2020-05-18,33.05,34.43,32.9,34.15,6456800,0.0,0
2020-05-19,33.48,33.78,32.32,32.34,5837500,0.0,0
2020-05-20,33.08,33.96,33.05,33.77,5373600,0.0,0
2020-05-21,33.32,34.16,33.28,33.47,4933900,0.0,0
2020-05-22,33.49,33.82,32.76,33.29,4227500,0.0,0
2020-05-26,35.19,36.94,34.8,36.19,7618400,0.0,0
2020-05-27,39.36,39.74,37.83,39.5,8391500,0.0,0
2020-05-28,40.22,40.3,37.76,38.15,8036200,0.0,0
2020-05-29,37.43,37.74,36.28,36.78,8674700,0.0,0
2020-06-01,37.07,38.44,36.84,38.06,6065900,0.0,0
2020-06-02,38.56,38.87,37.25,37.61,7844600,0.0,0
2020-06-03,39.0,40.23,38.51,39.97,5780900,0.0,0
2020-06-04,39.66,41.88,39.36,41.87,6255800,0.0,0
2020-06-05,45.2,45.8,43.41,44.31,10788000,0.0,0
2020-06-08,45.36,46.53,45.27,46.37,10430300,0.0,0
2020-06-09,44.61,45.41,44.07,44.68,9148600,0.0,0
2020-06-10,44.25,44.54,41.5,41.51,9845200,0.0,0
2020-06-11,38.3,39.27,37.45,37.48,11823700,0.0,0
2020-06-12,40.09,40.09,37.57,39.47,7954500,0.0,0
