Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,118.82,119.99,117.52,118.51,4677900,0.0,0
2020-05-14,117.32,120.19,116.5,119.31,5635600,0.0,0
2020-05-15,119.72,122.0,119.17,120.3,8354200,0.0,0
2020-05-18,122.61,124.89,122.12,124.54,6346900,0.0,0
2020-05-19,125.11,125.97,122.77,123.17,7914900,0.66,0
2020-05-20,124.09,124.91,119.29,119.63,12897000,0.0,0
2020-05-21,119.63,120.37,117.64,118.68,7620700,0.0,0
2020-05-22,118.83,119.36,117.18,117.49,4902900,0.0,0
2020-05-26,118.8,119.96,114.81,115.12,7274600,0.0,0
2020-05-27,115.63,117.45,114.23,117.41,8260300,0.0,0
2020-05-28,117.96,120.24,117.46,118.43,6137300,0.0,0
2020-05-29,118.74,122.78,118.16,122.33,8706900,0.0,0
2020-06-01,120.45,120.74,118.82,119.49,6020100,0.0,0
2020-06-02,119.66,120.78,118.19,118.85,5144600,0.0,0
2020-06-03,119.14,122.3,118.3,121.73,5815800,0.0,0
2020-06-04,121.88,122.74,119.55,119.96,3963600,0.0,0
2020-06-05,121.41,122.51,119.68,121.53,4578800,0.0,0
2020-06-08,120.81,122.46,120.58,122.37,3578400,0.0,0
2020-06-09,122.54,122.73,120.29,120.72,2923500,0.0,0
2020-06-10,120.75,122.18,119.78,120.0,3653700,0.0,0
2020-06-11,118.57,120.94,117.78,118.01,5005100,0.0,0
2020-06-12,119.58,119.75,114.81,116.9,4951400,0.0,0
