Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,127.76,128.37,127.14,127.68,1689400,0,0
2020-05-14,127.21,127.68,126.5,127.28,1334100,0,0
2020-05-15,126.9,127.54,126.23,127.01,2179700,0,0
2020-05-18,127.81,128.15,127.21,127.66,1480100,0,0
2020-05-19,127.39,128.07,127.32,127.98,1905400,0,0
2020-05-20,127.99,128.06,124.96,125.69,2901900,0,0
2020-05-21,125.3,126.62,123.93,126.36,5007900,0,0
2020-05-22,126.79,126.88,124.87,125.07,2420800,0,0
2020-05-26,125.12,126.2,125.12,125.37,2848200,0,0
2020-05-27,125.74,127.58,125.57,127.54,1754300,0,0
2020-05-28,127.8,128.61,127.43,127.82,3328500,0,0
2020-05-29,127.66,128.38,127.35,128.13,2285100,0,0
2020-06-01,127.52,128.77,127.52,128.5,1086900,0,0
2020-06-02,128.67,128.75,111.27,117.03,9558400,0,0
2020-06-03,117.0,117.68,112.45,114.24,8830400,0,0
2020-06-04,113.27,115.22,112.5,114.53,4265900,0,0
2020-06-05,124.05,124.19,120.0,121.99,8127000,0,0
2020-06-08,122.35,123.5,121.51,122.18,2704900,0,0
2020-06-09,124.05,125.0,123.74,124.56,3003800,0,0
2020-06-10,121.62,123.38,120.82,121.05,3132600,0,0
2020-06-11,120.42,121.56,119.0,119.47,3188100,0,0
2020-06-12,120.23,120.5,118.21,119.12,1563300,0,0
