Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,112.42,113.17,105.97,107.12,2819600,0.0,0
2020-05-14,105.73,111.83,104.76,111.72,1741200,0.0,0
2020-05-15,110.48,112.77,109.85,112.65,1798800,0.0,0
2020-05-18,116.12,117.56,114.51,116.33,1348100,0.0,0
2020-05-19,115.69,117.46,113.25,113.33,1024300,0.0,0
2020-05-20,114.25,115.61,113.42,113.97,1173000,0.0,0
2020-05-21,113.17,115.47,112.9,113.78,838800,0.0,0
2020-05-22,114.19,114.68,112.52,114.22,851900,0.0,0
2020-05-26,118.17,120.41,118.17,119.14,1642300,0.0,0
2020-05-27,123.03,123.03,119.74,121.53,1086000,0.0,0
2020-05-28,122.04,122.74,119.47,119.75,1088100,0.0,0
2020-05-29,119.29,120.19,117.69,119.99,2246900,0.0,0
2020-06-01,121.12,122.01,119.51,120.95,802000,0.0,0
2020-06-02,121.83,123.05,120.79,122.03,1109400,0.0,0
2020-06-03,123.33,126.86,122.51,126.55,1194900,0.0,0
2020-06-04,125.34,126.39,123.84,125.4,1241600,0.0,0
2020-06-05,129.22,131.0,126.88,127.31,1560000,0.0,0
2020-06-08,128.03,129.93,127.71,129.78,1089800,0.0,0
2020-06-09,127.12,128.71,126.94,127.67,837300,0.0,0
2020-06-10,127.51,128.52,125.97,126.88,1085500,0.0,0
2020-06-11,124.1,124.55,118.06,118.22,1471400,0.0,0
2020-06-12,122.25,122.74,118.88,120.93,1053400,0.9,0
