Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,92.25,92.48,88.94,89.26,1964900,0.0,0
2020-05-14,87.61,90.36,84.53,89.62,2651300,0.0,0
2020-05-15,88.64,89.82,87.15,89.71,3352700,0.0,0
2020-05-18,93.37,95.46,92.88,94.67,1706100,0.0,0
2020-05-19,94.16,94.44,92.31,92.65,1598500,0.0,0
2020-05-20,93.95,95.51,93.15,94.91,1835600,0.0,0
2020-05-21,94.37,100.13,94.3,98.51,2993500,0.0,0
2020-05-22,98.63,99.55,97.55,99.44,1705400,0.0,0
2020-05-26,103.03,103.88,102.05,102.67,2840500,0.0,0
2020-05-27,106.27,106.65,104.33,106.11,1738200,0.0,0
2020-05-28,107.77,108.04,105.87,106.88,2028300,0.0,0
2020-05-29,105.62,108.01,104.98,106.27,2973600,0.0,0
2020-06-01,106.08,108.57,104.72,108.43,1726700,0.0,0
2020-06-02,109.34,110.72,107.83,110.26,1795800,0.0,0
2020-06-03,112.28,114.24,111.77,113.71,1774200,0.0,0
2020-06-04,113.22,117.23,112.2,117.22,1695300,0.0,0
2020-06-05,120.46,124.45,119.38,123.53,3129600,0.0,0
2020-06-08,124.17,127.28,123.79,127.15,3168200,0.0,0
2020-06-09,124.29,126.99,123.92,125.42,2875400,0.85,0
2020-06-10,123.75,124.66,120.97,120.98,3377200,0.0,0
2020-06-11,116.41,117.39,110.37,110.55,3541000,0.0,0
2020-06-12,114.72,115.55,110.56,113.33,1885100,0.0,0
