Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,107.05,108.07,104.61,106.16,1563200,0.0,0
2020-05-14,105.42,106.65,104.56,106.49,1156000,0.0,0
2020-05-15,106.77,111.62,106.42,111.36,3365900,0.0,0
2020-05-18,112.59,113.52,108.94,109.41,1746100,0.0,0
2020-05-19,108.85,111.21,106.95,108.71,1559300,0.0,0
2020-05-20,109.34,110.3,106.67,107.44,1556400,0.0,0
2020-05-21,107.97,109.06,107.25,108.6,1120100,0.0,0
2020-05-22,109.65,112.04,108.95,111.85,1383700,0.35,0
2020-05-26,113.16,113.36,110.9,111.21,1477200,0.0,0
2020-05-27,115.8,120.34,112.68,119.76,4116000,0.0,0
2020-05-28,120.65,121.75,118.25,118.98,2258500,0.0,0
2020-05-29,118.9,122.52,118.33,122.02,2553400,0.0,0
2020-06-01,122.05,124.43,122.05,122.66,1563500,0.0,0
2020-06-02,121.29,123.92,121.09,123.76,1291100,0.0,0
2020-06-03,124.0,124.01,121.2,122.87,1426300,0.0,0
2020-06-04,122.75,124.14,120.8,122.38,1601000,0.0,0
2020-06-05,123.99,124.2,120.85,122.13,1556100,0.0,0
2020-06-08,120.29,122.24,119.49,122.24,1417500,0.0,0
2020-06-09,122.0,123.03,121.26,122.44,987500,0.0,0
2020-06-10,123.39,124.11,120.6,121.29,792000,0.0,0
2020-06-11,120.26,123.32,118.61,119.21,1482200,0.0,0
2020-06-12,120.25,121.83,117.14,118.45,937000,0.0,0
