Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,132.2,133.89,129.58,131.38,1517700,0,0
2020-05-14,130.94,131.64,128.56,131.53,1165200,0,0
2020-05-15,129.71,133.54,129.5,132.54,1749300,0,0
2020-05-18,133.25,135.94,130.25,135.53,2696400,0,0
2020-05-19,136.34,143.22,136.34,142.24,3227000,0,0
2020-05-20,143.84,149.28,143.82,146.84,7065900,0,0
2020-05-21,142.14,147.75,137.13,138.19,7409600,0,0
2020-05-22,139.65,141.5,138.63,140.51,2233800,0,0
2020-05-26,142.44,142.75,129.81,130.2,5916700,0,0
2020-05-27,130.44,134.7,126.56,134.52,5231800,0,0
2020-05-28,133.92,136.55,133.57,134.07,2346900,0,0
2020-05-29,135.03,137.23,132.71,136.17,4594600,0,0
2020-06-01,135.62,136.59,134.25,136.22,1932800,0,0
2020-06-02,135.04,135.76,132.34,134.6,1801200,0,0
2020-06-03,134.0,134.01,128.26,129.3,3076100,0,0
2020-06-04,129.11,130.29,125.78,127.59,2647000,0,0
2020-06-05,125.26,129.01,124.86,128.91,3318000,0,0
2020-06-08,127.24,134.98,125.78,134.8,2954800,0,0
2020-06-09,134.97,136.95,132.53,134.41,1702200,0,0
2020-06-10,135.7,139.42,135.19,137.31,2133100,0,0
2020-06-11,137.12,138.08,134.06,134.92,1922300,0,0
2020-06-12,137.59,137.81,130.99,134.0,2586200,0,0
