Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,112.92,112.92,107.38,109.07,4653000,0,0
2020-05-14,109.0,110.44,106.42,110.35,4396100,0,0
2020-05-15,106.54,108.37,105.45,108.24,7237700,0,0
2020-05-18,111.18,115.15,110.26,114.42,6527200,0,0
2020-05-19,114.02,115.34,112.53,112.68,4594800,0,0
2020-05-20,115.14,118.83,114.64,117.48,4961600,0,0
2020-05-21,116.44,117.33,113.38,113.46,4381700,0,0
2020-05-22,113.53,113.87,112.32,113.43,3061600,0,0
2020-05-26,115.81,117.61,115.51,115.73,4822000,0,0
2020-05-27,116.43,117.97,115.54,117.82,4079400,0,0
2020-05-28,117.76,118.69,115.51,115.87,3798200,0,0
2020-05-29,116.81,119.26,115.66,118.74,5953600,0,0
2020-06-01,117.77,118.4,116.83,117.86,2842500,0,0
2020-06-02,118.6,122.93,117.84,122.67,7277700,0,0
2020-06-03,126.67,128.47,125.64,127.21,7650600,0,0
2020-06-04,126.38,129.0,126.29,128.58,5052500,0,0
2020-06-05,130.96,135.68,130.55,131.44,7788500,0,0
2020-06-08,130.66,133.29,129.63,132.86,5602500,0,0
2020-06-09,131.35,132.91,130.15,132.12,4450000,0,0
2020-06-10,132.45,132.79,130.99,131.4,4005700,0,0
2020-06-11,129.05,129.22,124.33,124.61,6013700,0,0
2020-06-12,127.27,127.74,122.4,123.97,5950800,0,0
