Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,24.47,24.52,23.12,23.37,1588400,0.0,0
2020-05-14,22.74,24.09,21.91,23.96,1679500,0.0,0
2020-05-15,23.57,24.5,23.31,24.19,1519600,0.0,0
2020-05-18,25.72,27.52,25.46,27.17,2208700,0.0,0
2020-05-19,27.12,27.52,26.32,26.48,975000,0.0,0
2020-05-20,26.86,27.65,26.86,27.31,1032500,0.0,0
2020-05-21,27.29,27.73,26.89,26.93,1228400,0.0,0
2020-05-22,27.33,27.33,26.41,26.89,936700,0.0,0
2020-05-26,28.48,30.62,28.42,30.0,2080500,0.0,0
2020-05-27,31.17,31.9,30.16,31.43,2211300,0.0,0
2020-05-28,32.02,32.11,30.63,31.0,2147300,0.0,0
2020-05-29,30.4,31.32,29.75,30.95,2788200,0.0,0
2020-06-01,30.86,31.69,30.71,31.53,1239700,0.0,0
2020-06-02,31.81,32.63,31.53,31.88,1734000,0.0,0
2020-06-03,32.94,34.89,32.77,34.72,1820100,0.0,0
2020-06-04,34.75,36.97,34.02,36.95,2247300,0.0,0
2020-06-05,39.27,40.4,38.37,39.1,2882800,0.0,0
2020-06-08,41.07,41.36,40.07,40.53,2392100,0.0,0
2020-06-09,38.36,39.21,37.76,38.49,1584200,0.0,0
2020-06-10,37.86,37.98,35.32,35.34,2114900,0.0,0
2020-06-11,32.5,33.08,31.56,31.63,2528100,0.02,0
2020-06-12,33.75,34.25,32.51,34.15,3202100,0.0,0
