Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,7.59,7.59,6.9,6.93,8846200,0,0
2020-05-14,6.82,7.02,6.37,6.91,5722000,0,0
2020-05-15,6.71,6.96,6.58,6.91,5687600,0,0
2020-05-18,7.4,7.55,7.25,7.3,8766700,0,0
2020-05-19,7.32,7.39,6.95,7.08,7356700,0,0
2020-05-20,7.23,7.6,7.12,7.47,5742900,0,0
2020-05-21,6.93,7.97,6.91,7.7,26844600,0,0
2020-05-22,7.7,7.7,7.32,7.38,21484300,0,0
2020-05-26,7.69,7.92,7.55,7.86,20873900,0,0
2020-05-27,8.18,8.52,7.93,8.51,14106400,0,0
2020-05-28,8.85,8.85,8.05,8.12,11715400,0,0
2020-05-29,8.0,8.19,7.8,7.86,16378200,0,0
2020-06-01,7.88,8.36,7.81,8.26,13434600,0,0
2020-06-02,8.39,8.61,8.3,8.41,9771800,0,0
2020-06-03,8.65,9.26,8.65,9.19,12833700,0,0
2020-06-04,9.15,9.46,8.91,9.3,10693200,0,0
2020-06-05,10.12,10.3,9.76,9.84,10865500,0,0
2020-06-08,10.44,10.54,10.04,10.22,9732100,0,0
2020-06-09,9.97,10.01,9.56,9.71,7927700,0,0
2020-06-10,9.73,9.73,9.07,9.42,8591800,0,0
2020-06-11,8.62,8.72,8.43,8.52,6612600,0,0
2020-06-12,9.0,9.04,8.33,8.68,7012400,0,0
