Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,8.49,8.53,7.64,7.79,15082600,0,0
2020-05-14,7.7,7.85,7.15,7.71,9998100,0,0
2020-05-15,7.5,7.8,7.36,7.71,11275900,0,0
2020-05-18,8.25,8.48,8.09,8.23,19171000,0,0
2020-05-19,8.24,8.24,7.73,7.81,17607000,0,0
2020-05-20,7.97,8.35,7.86,8.24,12753400,0,0
2020-05-21,7.78,8.94,7.66,8.68,17328900,0,0
2020-05-22,8.74,8.75,8.26,8.34,9182800,0,0
2020-05-26,8.75,8.99,8.59,8.88,10964000,0,0
2020-05-27,9.28,9.61,8.99,9.61,10146000,0,0
2020-05-28,9.94,10.0,9.01,9.05,8789600,0,0
2020-05-29,8.91,9.13,8.68,8.75,15492000,0,0
2020-06-01,8.82,9.33,8.73,9.26,7321900,0,0
2020-06-02,9.42,9.68,9.29,9.41,8628400,0,0
2020-06-03,9.65,10.38,9.65,10.3,11609700,0,0
2020-06-04,10.28,10.63,10.01,10.41,10675100,0,0
2020-06-05,11.41,11.59,10.97,11.1,13743100,0,0
2020-06-08,11.63,11.8,11.36,11.51,10108200,0,0
2020-06-09,11.42,11.43,10.74,10.92,9992800,0,0
2020-06-10,10.9,10.92,10.16,10.51,8694700,0,0
2020-06-11,9.6,9.73,9.4,9.47,9573400,0,0
2020-06-12,10.01,10.05,9.26,9.7,6860600,0,0
