Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,22.51,22.64,20.33,20.71,59007900,0,0
2020-05-14,19.72,20.43,18.18,20.3,74107800,0,0
2020-05-15,19.67,20.96,19.28,19.92,39808000,0,0
2020-05-18,21.79,24.26,21.46,24.13,72914800,0,0
2020-05-19,25.62,25.67,23.33,23.68,81388000,0,0
2020-05-20,24.38,25.39,24.3,24.91,56272000,0,0
2020-05-21,25.09,26.58,25.0,25.84,53737300,0,0
2020-05-22,26.38,26.58,24.67,25.4,45062100,0,0
2020-05-26,27.48,29.88,27.45,29.54,88220700,0,0
2020-05-27,32.25,32.75,28.54,30.69,89323200,0,0
2020-05-28,30.0,30.0,28.53,28.89,57057500,0,0
2020-05-29,27.11,28.88,26.65,28.04,64483600,0,0
2020-06-01,28.19,30.29,27.95,29.46,57268700,0,0
2020-06-02,30.12,30.92,29.31,29.91,47473400,0,0
2020-06-03,30.75,33.9,30.39,33.65,85543700,0,0
2020-06-04,35.77,39.85,34.14,39.1,142812800,0,0
2020-06-05,48.95,48.95,41.26,42.41,135585100,0,0
2020-06-08,45.86,48.85,44.57,48.69,89957300,0,0
2020-06-09,45.0,46.1,41.5,44.64,79612800,0,0
2020-06-10,42.04,42.6,38.3,39.72,105254900,0,0
2020-06-11,33.26,36.38,32.22,33.32,104768800,0,0
2020-06-12,37.51,39.68,36.15,39.66,98554800,0,0
