Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,35.8,35.9,34.95,35.18,2204300,0,0
2020-05-14,34.53,34.99,33.36,34.9,2251300,0,0
2020-05-15,34.51,34.97,33.53,34.76,5970700,0,0
2020-05-18,36.24,37.35,36.24,36.89,2504200,0,0
2020-05-19,36.81,37.01,35.83,35.89,2562000,0,0
2020-05-20,36.43,36.47,35.62,36.28,1721700,0,0
2020-05-21,36.05,36.9,35.84,35.87,1812400,0,0
2020-05-22,35.85,36.31,35.62,36.28,1242200,0,0
2020-05-26,37.68,38.57,37.28,38.25,1530100,0,0
2020-05-27,39.3,39.53,37.66,38.3,1888600,0,0
2020-05-28,38.72,38.72,37.8,38.45,2052800,0,0
2020-05-29,37.99,38.32,36.78,36.98,5447500,0,0
2020-06-01,36.89,38.06,36.85,37.76,1948400,0,0
2020-06-02,38.08,38.24,37.53,37.66,1828500,0,0
2020-06-03,38.11,39.35,37.99,39.19,1928400,0,0
2020-06-04,38.97,39.29,38.03,38.74,1641400,0,0
2020-06-05,40.27,41.86,40.21,41.7,2512700,0,0
2020-06-08,42.28,42.98,41.89,42.77,2248500,0,0
2020-06-09,41.73,42.15,41.19,41.69,1546600,0,0
2020-06-10,41.23,41.5,40.09,40.31,1515200,0,0
2020-06-11,38.45,39.12,37.67,37.8,2226100,0,0
2020-06-12,39.41,39.41,37.96,39.09,2991400,0,0
