Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,211.92,212.0,195.06,197.61,1953800,0,0
2020-05-14,194.0,201.81,188.1,200.97,1563700,0,0
2020-05-15,199.77,205.45,197.51,200.45,1121600,0,0
2020-05-18,210.6,218.46,210.6,212.57,1199700,0,0
2020-05-19,213.01,213.01,204.33,210.22,970800,0,0
2020-05-20,213.0,215.26,210.0,213.48,975300,0,0
2020-05-21,213.36,224.48,210.74,222.76,1869400,0,0
2020-05-22,223.29,223.64,216.29,220.62,1052000,0,0
2020-05-26,230.36,239.09,228.41,237.98,1784100,0,0
2020-05-27,244.43,252.38,239.26,251.63,1640500,0,0
2020-05-28,251.66,252.89,241.0,243.31,1652800,0,0
2020-05-29,240.61,246.41,231.51,244.01,2628200,0,0
2020-06-01,246.49,250.57,236.01,239.09,1461900,0,0
2020-06-02,242.16,242.95,237.05,241.22,1334100,0,0
2020-06-03,244.47,254.37,242.0,252.3,1112300,0,0
2020-06-04,250.5,255.83,244.28,247.98,1456600,0,0
2020-06-05,256.86,258.18,249.74,252.08,1189000,0,0
2020-06-08,255.91,256.79,250.44,254.57,1018000,0,0
2020-06-09,248.44,249.0,244.18,244.68,724500,0,0
2020-06-10,245.67,246.84,236.47,238.41,1043500,0,0
2020-06-11,225.28,230.78,223.06,225.88,1408700,0,0
2020-06-12,232.4,236.31,222.58,226.63,1000300,0,0
