Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,284.49,286.4,275.56,278.0,5474100,0,0
2020-05-14,275.93,292.45,275.64,290.61,5704600,0,0
2020-05-15,292.41,300.0,290.72,290.96,12182800,0,0
2020-05-18,298.48,299.72,292.02,293.36,4017300,0,0
2020-05-19,290.74,294.63,288.88,289.05,3059400,0,0
2020-05-20,292.9,292.9,286.7,287.99,3200600,0,0
2020-05-21,286.04,290.13,284.93,286.91,3604900,0,0
2020-05-22,287.3,290.24,284.79,289.94,2922800,0,0
2020-05-26,296.5,297.03,292.5,294.89,4567800,0,0
2020-05-27,297.42,303.8,290.8,303.77,5618900,0,0
2020-05-28,305.95,309.66,303.29,303.97,4387700,0,0
2020-05-29,304.72,308.37,300.85,304.85,6253000,0,0
2020-06-01,304.02,305.98,300.56,305.93,2894000,0,0
2020-06-02,305.58,308.1,301.73,306.31,2756800,0,0
2020-06-03,307.85,310.12,302.74,305.35,4360000,0,0
2020-06-04,303.18,304.47,294.29,298.08,4374300,0,0
2020-06-05,304.0,314.28,300.5,311.85,5554300,0,0
2020-06-08,308.64,315.84,307.93,309.48,4635500,0,0
2020-06-09,309.9,312.65,307.33,309.21,3061500,0,0
2020-06-10,308.94,310.31,302.86,305.75,3296100,0,0
2020-06-11,303.36,303.36,280.8,283.73,6638900,0,0
2020-06-12,290.65,294.1,278.7,285.15,5416200,0,0
