Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,152.09,153.09,149.7,151.89,3499700,0.0,0
2020-05-14,149.97,151.83,146.23,151.59,3930400,0.0,0
2020-05-15,150.15,152.03,148.92,150.4,5127700,0.0,0
2020-05-18,156.58,159.96,154.96,158.23,5423000,0.0,0
2020-05-19,158.23,162.0,157.86,158.37,3136400,0.0,0
2020-05-20,164.08,167.76,163.23,165.1,4294300,0.0,0
2020-05-21,164.33,165.05,162.1,162.68,2277100,0.0,0
2020-05-22,162.77,164.51,161.26,164.24,1773900,0.0,0
2020-05-26,169.37,170.06,167.34,168.95,4150500,0.0,0
2020-05-27,170.9,173.11,170.15,172.87,3174400,0.0,0
2020-05-28,173.04,173.64,169.33,170.51,4065700,0.97,0
2020-05-29,170.19,171.44,168.36,169.86,3677000,0.0,0
2020-06-01,169.36,170.47,167.78,169.5,2929800,0.0,0
2020-06-02,170.75,173.5,169.5,170.94,3000000,0.0,0
2020-06-03,173.64,178.85,173.02,178.05,3897900,0.0,0
2020-06-04,176.38,177.69,175.26,176.43,2933300,0.0,0
2020-06-05,183.11,187.83,182.43,184.83,5608600,0.0,0
2020-06-08,183.96,185.99,179.86,181.66,3436600,0.0,0
2020-06-09,178.06,180.42,177.0,178.16,3569700,0.0,0
2020-06-10,177.85,178.76,174.95,175.43,3321200,0.0,0
2020-06-11,170.0,170.14,163.21,163.29,6234700,0.0,0
2020-06-12,168.21,168.56,162.46,166.18,3373000,0.0,0
