Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,91.6,92.26,89.44,89.8,3690800,0.0,0
2020-05-14,89.07,90.85,87.93,90.74,4031700,0.0,0
2020-05-15,89.9,90.94,89.7,90.09,3990600,0.0,0
2020-05-18,92.36,96.04,92.09,95.1,5512500,0.0,0
2020-05-19,94.93,96.46,94.42,95.43,3674300,0.0,0
2020-05-20,96.49,97.44,95.47,96.17,3291700,0.0,0
2020-05-21,95.73,96.97,95.6,96.3,5452100,0.0,0
2020-05-22,96.79,97.57,95.7,96.72,2406600,1.01,0
2020-05-26,98.15,98.94,96.78,97.07,5563700,0.0,0
2020-05-27,97.78,99.74,96.92,99.62,4436400,0.0,0
2020-05-28,100.0,101.1,98.33,99.72,5460800,0.0,0
2020-05-29,99.33,100.41,98.35,99.71,5962900,0.0,0
2020-06-01,99.48,99.68,98.36,99.28,2510300,0.0,0
2020-06-02,99.75,101.18,98.98,101.17,2860500,0.0,0
2020-06-03,102.6,104.22,102.08,103.65,3633800,0.0,0
2020-06-04,103.3,103.82,102.29,103.2,2768400,0.0,0
2020-06-05,104.98,107.17,104.67,106.65,5026800,0.0,0
2020-06-08,106.67,110.49,106.67,110.45,4561100,0.0,0
2020-06-09,109.08,109.2,106.53,107.83,4567900,0.0,0
2020-06-10,107.89,108.09,105.62,106.63,3793300,0.0,0
2020-06-11,103.47,103.71,100.45,100.47,5306100,0.0,0
2020-06-12,102.91,102.97,99.96,101.48,3334400,0.0,0
