Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,109.95,111.15,106.5,108.77,1166200,0,0
2020-05-14,107.3,116.24,105.26,116.06,1728200,0,0
2020-05-15,114.51,118.95,113.33,118.57,1468800,0,0
2020-05-18,126.3,133.01,125.12,129.33,2404100,0,0
2020-05-19,128.01,129.46,124.59,124.75,1151300,0,0
2020-05-20,128.46,129.58,126.05,128.02,1217300,0,0
2020-05-21,128.42,129.89,126.25,127.72,672500,0,0
2020-05-22,127.76,131.61,126.57,130.56,914600,0,0
2020-05-26,135.5,140.4,135.25,137.17,1634400,0,0
2020-05-27,141.63,143.7,137.26,140.48,2192700,0,0
2020-05-28,142.11,142.11,136.52,137.62,1330000,0,0
2020-05-29,135.37,141.3,134.39,138.89,1564400,0,0
2020-06-01,138.95,141.91,137.3,139.96,763600,0,0
2020-06-02,142.0,144.28,141.15,143.13,1062200,0,0
2020-06-03,145.35,150.87,145.3,149.79,1228100,0,0
2020-06-04,148.94,153.95,147.06,151.38,1509300,0,0
2020-06-05,160.04,165.87,159.32,161.36,3124100,0,0
2020-06-08,162.66,165.8,156.43,158.28,1931400,0,0
2020-06-09,154.41,161.6,152.5,158.25,1435500,0,0
2020-06-10,158.22,158.91,153.6,155.6,1502700,0,0
2020-06-11,144.14,148.0,141.79,142.05,2002100,0,0
2020-06-12,149.25,149.44,139.37,143.49,1315400,0,0
