Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.4,31.47,29.05,29.45,15304800,0,0
2020-05-14,28.86,31.27,28.36,31.17,14770900,0,0
2020-05-15,30.79,31.13,30.12,30.68,12087500,0,0
2020-05-18,32.12,33.17,31.84,32.96,9197800,0,0
2020-05-19,32.57,32.85,31.81,31.99,7533600,0,0
2020-05-20,32.6,33.26,32.57,33.06,10122500,0,0
2020-05-21,32.85,33.35,32.73,32.92,5890500,0,0
2020-05-22,32.9,33.01,32.21,32.93,5534000,0,0
2020-05-26,34.49,36.28,34.42,35.83,11156600,0,0
2020-05-27,37.99,38.65,36.7,37.62,9938900,0,0
2020-05-28,38.09,38.16,36.39,36.51,9030100,0,0
2020-05-29,35.86,36.49,35.42,35.56,18242500,0,0
2020-06-01,35.79,37.05,35.61,36.69,6594300,0,0
2020-06-02,37.3,37.52,36.34,36.62,6596500,0,0
2020-06-03,37.65,38.87,37.53,38.68,9656100,0,0
2020-06-04,38.68,40.09,38.05,40.07,9142500,0,0
2020-06-05,43.5,44.26,41.74,42.37,12586800,0,0
2020-06-08,42.95,43.94,42.42,43.51,10445800,0,0
2020-06-09,41.88,42.55,41.34,42.1,7580400,0,0
2020-06-10,41.55,41.76,39.18,39.32,11590200,0,0
2020-06-11,36.65,37.69,36.06,36.14,16095900,0,0
2020-06-12,38.16,38.27,36.59,37.51,9328500,0,0
