Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,118.77,119.84,115.24,116.62,760200,0,0
2020-05-14,114.89,115.57,111.97,114.04,689900,0,0
2020-05-15,113.59,114.95,112.98,114.03,388800,0,0
2020-05-18,116.86,119.87,116.86,118.97,917900,0,0
2020-05-19,118.78,119.49,116.25,116.26,713400,0,0
2020-05-20,117.21,119.96,116.78,119.91,581400,0,0
2020-05-21,119.24,120.67,115.15,115.76,1108200,0,0
2020-05-22,115.88,116.59,114.34,115.41,391900,0,0
2020-05-26,118.56,120.0,117.15,118.51,626800,0,0
2020-05-27,119.64,121.96,119.29,121.74,609100,0,0
2020-05-28,123.44,125.54,121.92,124.05,584800,0,0
2020-05-29,124.15,125.21,120.37,121.39,1195300,0,0
2020-06-01,121.16,123.6,120.76,122.54,330900,0,0
2020-06-02,122.59,124.2,121.35,124.2,419600,0,0
2020-06-03,124.95,129.1,124.41,128.85,633300,0,0
2020-06-04,127.8,128.22,126.52,127.1,411100,0,0
2020-06-05,129.31,133.59,129.17,132.37,545100,0,0
2020-06-08,131.61,134.31,131.4,134.2,697200,0,0
2020-06-09,133.03,133.47,127.5,127.64,775700,0,0
2020-06-10,127.89,128.27,121.95,123.11,868500,0,0
2020-06-11,120.18,120.42,112.38,113.25,997500,0,0
2020-06-12,117.03,117.83,113.14,115.29,712600,0,0
