Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,61.82,62.04,58.73,59.05,5721100,0.98,0
2020-05-14,57.65,60.65,55.81,59.41,5237900,0.0,0
2020-05-15,59.19,60.5,57.79,58.78,3768000,0.0,0
2020-05-18,61.99,64.91,61.61,64.35,4422800,0.0,0
2020-05-19,64.26,65.71,62.51,64.05,4573100,0.0,0
2020-05-20,65.83,68.25,65.73,67.34,5337200,0.0,0
2020-05-21,67.02,67.79,65.36,65.73,2959700,0.0,0
2020-05-22,65.55,65.98,63.95,65.68,3521100,0.0,0
2020-05-26,68.22,70.15,68.19,68.7,4833500,0.0,0
2020-05-27,70.1,71.29,68.75,70.18,4359800,0.0,0
2020-05-28,70.22,70.5,66.53,67.13,4992100,0.0,0
2020-05-29,66.96,67.93,65.75,66.64,4973800,0.0,0
2020-06-01,66.83,67.34,65.3,66.58,3893900,0.0,0
2020-06-02,67.27,68.69,66.52,68.19,4373900,0.0,0
2020-06-03,69.25,70.93,68.65,70.54,4963100,0.0,0
2020-06-04,69.62,70.59,69.16,70.05,3391700,0.0,0
2020-06-05,73.09,75.75,73.06,74.64,5700500,0.0,0
2020-06-08,76.0,77.11,74.22,75.62,4397300,0.0,0
2020-06-09,73.15,73.69,71.03,71.27,4902400,0.0,0
2020-06-10,71.62,72.35,68.68,69.05,4571200,0.0,0
2020-06-11,64.55,66.52,60.28,60.68,6214000,0.0,0
2020-06-12,63.89,64.65,61.67,63.79,3573700,0.0,0
