Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,97.46,100.12,92.48,92.74,1460400,0.0,0
2020-05-14,91.26,97.94,88.3,96.54,1870100,0.0,0
2020-05-15,96.6,98.03,95.15,95.75,2076600,0.0,0
2020-05-18,99.22,101.89,98.76,100.9,1288300,0.0,0
2020-05-19,100.93,101.16,98.42,98.73,928800,0.0,0
2020-05-20,99.02,102.07,98.67,101.13,1476900,0.0,0
2020-05-21,100.81,102.4,99.61,100.63,961000,0.34,0
2020-05-22,101.75,102.13,98.6,99.84,1013900,0.0,0
2020-05-26,103.5,105.22,101.02,104.73,1791800,0.0,0
2020-05-27,108.85,111.58,106.98,111.51,2153300,0.0,0
2020-05-28,112.7,113.11,109.74,110.37,1107300,0.0,0
2020-05-29,109.61,109.96,108.0,108.32,843600,0.0,0
2020-06-01,108.07,109.28,107.11,107.34,1692000,0.0,0
2020-06-02,107.81,110.64,107.1,110.59,2537100,0.0,0
2020-06-03,112.14,119.42,111.8,118.33,2469900,0.0,0
2020-06-04,117.56,122.6,117.53,120.64,1461400,0.0,0
2020-06-05,125.27,128.79,123.23,124.13,1135100,0.0,0
2020-06-08,125.04,127.01,122.61,124.06,1021700,0.0,0
2020-06-09,121.5,122.72,117.62,118.03,1190600,0.0,0
2020-06-10,116.58,117.83,114.49,116.07,710900,0.0,0
2020-06-11,111.81,114.44,108.89,109.09,1936700,0.0,0
2020-06-12,113.4,115.8,110.17,112.09,1026900,0.0,0
