Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,156.16,156.74,152.5,154.17,847600,0.0,0
2020-05-14,154.76,156.13,150.93,153.64,757200,0.0,0
2020-05-15,152.63,155.19,151.29,154.3,824400,0.0,0
2020-05-18,157.87,159.48,156.63,158.06,1145700,0.0,0
2020-05-19,158.16,160.73,157.28,157.8,668500,0.0,0
2020-05-20,158.58,160.77,158.58,159.28,636100,0.0,0
2020-05-21,157.25,159.1,156.26,156.58,553100,0.0,0
2020-05-22,155.55,158.11,155.48,157.02,625700,0.0,0
2020-05-26,158.26,160.99,156.9,160.19,1149400,0.0,0
2020-05-27,162.1,164.11,158.45,163.19,2028500,0.0,0
2020-05-28,164.73,169.66,163.75,168.06,1303500,0.0,0
2020-05-29,168.85,173.04,168.48,172.39,2021900,0.0,0
2020-06-01,171.18,173.4,168.97,169.1,940700,0.0,0
2020-06-02,169.76,171.99,169.15,170.68,1605200,0.0,0
2020-06-03,172.01,173.48,170.01,170.48,1034800,0.0,0
2020-06-04,169.94,170.84,163.59,164.19,1267000,0.0,0
2020-06-05,165.4,166.51,161.87,165.85,1773500,0.0,0
2020-06-08,163.67,169.69,163.47,169.39,861800,0.0,0
2020-06-09,169.72,169.93,167.3,169.05,794300,0.0,0
2020-06-10,170.28,171.63,169.46,170.96,896300,0.0,0
2020-06-11,169.76,170.83,162.1,162.42,936500,0.0,0
2020-06-12,164.46,165.71,160.41,162.67,824600,0.27,0
