Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,55.16,55.55,54.56,54.85,20604500,0,0
2020-05-14,54.5,54.93,53.85,54.91,15859200,0,0
2020-05-15,54.63,54.76,54.21,54.71,10174000,0,0
2020-05-18,55.65,56.2,55.04,55.72,15739200,0,0
2020-05-19,55.43,55.55,54.32,54.38,18467100,0,0
2020-05-20,54.54,54.9,54.05,54.26,21405400,0,0
2020-05-21,54.43,54.64,53.86,53.97,18201000,0,0
2020-05-22,53.96,54.29,53.67,54.1,19960000,0,0
2020-05-26,54.9,55.25,54.18,54.3,20830500,0,0
2020-05-27,54.61,55.22,54.43,55.14,17063800,0,0
2020-05-28,55.58,55.79,55.16,55.72,15427900,0,0
2020-05-29,55.33,57.79,54.89,57.38,34255800,0,0
2020-06-01,56.7,56.9,55.75,55.78,18156100,0,0
2020-06-02,55.82,56.46,55.54,56.4,17300400,0,0
2020-06-03,56.52,56.98,56.3,56.83,16086700,0,0
2020-06-04,56.74,57.37,56.51,57.22,16147300,0,0
2020-06-05,57.75,58.12,57.08,57.74,17105600,0,0
2020-06-08,57.65,58.2,57.27,58.09,14963000,0,0
2020-06-09,57.75,58.13,57.37,57.86,14530800,0,0
2020-06-10,57.9,58.23,57.7,58.05,13649100,0,0
2020-06-11,57.48,57.94,56.4,56.45,23412500,0,0
2020-06-12,56.63,56.81,55.79,56.53,17129000,0,0
