Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.59,52.59,49.82,50.82,1753600,0,0
2020-05-14,50.04,52.41,48.75,52.14,1772800,0,0
2020-05-15,51.42,52.9,51.25,52.36,818600,0,0
2020-05-18,54.89,57.1,54.29,56.64,1232600,0,0
2020-05-19,56.34,57.4,55.53,55.69,793900,0,0
2020-05-20,56.86,58.19,56.86,57.83,916500,0,0
2020-05-21,57.61,58.4,56.92,57.1,607000,0,0
2020-05-22,57.0,57.01,55.76,56.8,745400,0,0
2020-05-26,59.1,61.37,59.0,60.63,1122800,0,0
2020-05-27,62.46,64.18,61.8,63.96,1287000,0,0
2020-05-28,64.55,64.65,61.19,61.48,1144800,0,0
2020-05-29,61.01,61.3,59.85,61.07,1586100,0,0
2020-06-01,60.92,62.12,59.68,61.92,1047800,0,0
2020-06-02,62.51,63.91,62.03,63.58,843300,0,0
2020-06-03,63.82,65.86,63.53,65.57,1944100,0,0
2020-06-04,65.32,67.97,65.23,67.38,1159500,0,0
2020-06-05,71.37,72.72,70.37,70.68,1966500,0,0
2020-06-08,71.96,72.82,71.17,72.05,1872800,0,0
2020-06-09,70.45,70.83,69.07,69.12,1246900,0,0
2020-06-10,68.53,68.53,65.13,65.21,1242100,0,0
2020-06-11,62.61,62.61,59.94,60.0,1459700,0,0
2020-06-12,62.71,63.26,59.62,60.89,1887400,0,0
