Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,39.86,40.03,37.59,37.92,11850200,0.0,0
2020-05-14,37.76,38.58,36.24,38.41,13076700,0.0,0
2020-05-15,37.88,38.05,37.08,37.97,17309300,0.0,0
2020-05-18,39.25,40.51,39.0,40.4,9379500,0.0,0
2020-05-19,40.6,40.92,39.74,39.77,5201000,0.458,0
2020-05-20,40.17,40.59,39.98,40.14,4648900,0.0,0
2020-05-21,40.0,40.76,39.66,39.75,4439700,0.0,0
2020-05-22,39.63,40.07,39.34,39.6,3391200,0.0,0
2020-05-26,40.43,42.47,40.34,42.16,8179300,0.0,0
2020-05-27,42.78,43.7,42.19,42.97,7748100,0.0,0
2020-05-28,43.44,43.44,41.74,41.83,5938400,0.0,0
2020-05-29,41.54,42.97,41.23,42.94,8858000,0.0,0
2020-06-01,42.71,43.48,42.6,43.3,5770600,0.0,0
2020-06-02,43.19,43.87,43.13,43.55,4284700,0.0,0
2020-06-03,43.97,44.41,43.45,43.61,4681700,0.0,0
2020-06-04,43.1,44.37,42.77,44.2,4949600,0.0,0
2020-06-05,45.2,46.37,44.84,45.35,8052000,0.0,0
2020-06-08,45.49,47.38,45.49,47.02,7233600,0.0,0
2020-06-09,46.58,46.63,44.97,45.28,5066500,0.0,0
2020-06-10,45.52,45.65,44.22,44.28,4561400,0.0,0
2020-06-11,43.18,43.2,40.73,40.75,7899700,0.0,0
2020-06-12,41.86,42.6,40.72,41.4,5015000,0.0,0
