Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,97.76,98.31,95.6,96.04,2246500,0.0,0
2020-05-14,95.34,96.86,93.66,96.7,2324200,0.0,0
2020-05-15,95.88,96.84,94.64,95.46,3174000,0.0,0
2020-05-18,98.22,100.03,97.69,99.17,2944200,0.0,0
2020-05-19,98.86,99.55,97.81,97.84,1773000,0.0,0
2020-05-20,98.59,100.06,97.6,98.96,1601800,0.0,0
2020-05-21,98.55,99.61,98.14,98.44,1361800,0.0,0
2020-05-22,98.39,98.51,97.64,98.43,1079000,0.0,0
2020-05-26,100.07,102.02,100.01,101.1,2088000,0.0,0
2020-05-27,102.18,103.98,101.92,103.78,2842100,0.0,0
2020-05-28,104.83,106.74,104.57,105.97,2681400,0.0,0
2020-05-29,106.62,106.92,105.63,106.22,3078800,0.0,0
2020-06-01,106.47,106.58,105.43,105.49,1629000,0.0,0
2020-06-02,105.5,107.5,105.03,106.9,1773400,0.0,0
2020-06-03,107.81,110.13,107.22,109.67,2336100,0.0,0
2020-06-04,109.0,109.63,107.11,107.99,1728000,0.545,0
2020-06-05,109.93,112.8,108.74,112.2,2931700,0.0,0
2020-06-08,111.86,113.57,111.46,113.53,2422300,0.0,0
2020-06-09,112.05,112.4,110.25,111.25,2820200,0.0,0
2020-06-10,111.69,111.84,108.96,109.33,2109900,0.0,0
2020-06-11,107.16,107.66,103.12,103.2,2826000,0.0,0
2020-06-12,105.42,106.22,101.86,103.89,2580100,0.0,0
