Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,18.6,18.69,17.81,18.11,12659900,0.0,0
2020-05-14,17.76,18.19,17.33,18.12,10973900,0.0,0
2020-05-15,18.1,18.6,17.98,18.39,8071900,0.0,0
2020-05-18,19.31,19.43,18.94,19.19,8632000,0.0,0
2020-05-19,19.19,19.26,18.81,19.03,10702500,0.0,0
2020-05-20,19.36,19.75,19.18,19.33,7978100,0.0,0
2020-05-21,19.45,19.49,18.97,19.08,6457600,0.0,0
2020-05-22,18.87,19.29,18.59,19.26,5256800,0.0,0
2020-05-26,19.73,20.08,19.51,20.02,7778200,0.0,0
2020-05-27,20.34,20.48,19.55,20.06,10471900,0.0,0
2020-05-28,20.27,20.39,19.49,19.56,10025200,0.0,0
2020-05-29,19.43,20.1,19.22,20.02,15328700,0.0,0
2020-06-01,19.98,20.23,19.6,20.03,8675200,0.0,0
2020-06-02,20.1,20.3,19.79,19.94,14894200,0.0,0
2020-06-03,20.18,20.35,19.82,20.25,8659500,0.0,0
2020-06-04,20.14,20.3,19.95,20.3,8332900,0.0,0
2020-06-05,21.07,21.07,20.47,20.72,10104700,0.0,0
2020-06-08,20.95,21.19,20.83,21.15,11338600,0.0,0
2020-06-09,20.66,20.81,20.11,20.12,11051500,0.0,0
2020-06-10,20.03,20.19,19.59,19.74,10851300,0.0,0
2020-06-11,18.5,18.93,18.1,18.17,12346800,0.4,0
2020-06-12,18.89,18.91,17.77,18.23,9381300,0.0,0
