Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,123.5,126.24,123.09,123.71,9725100,0,0
2020-05-14,124.85,125.13,121.3,123.42,7411000,0,0
2020-05-15,123.47,125.94,123.09,125.94,10590000,0,0
2020-05-18,127.5,128.56,126.1,127.66,13035900,0,0
2020-05-19,131.75,131.99,124.81,124.95,24915400,0,0
2020-05-20,126.49,126.59,124.63,125.45,10748800,0,0
2020-05-21,124.89,126.14,124.25,124.99,7482700,0,0
2020-05-22,125.1,125.35,123.77,124.33,7453200,0,0
2020-05-26,124.34,125.51,123.63,123.86,7910200,0,0
2020-05-27,123.97,124.49,121.03,122.48,10357900,0,0
2020-05-28,123.72,124.95,123.16,123.69,8141600,0,0
2020-05-29,124.24,124.71,121.93,124.06,9772400,0,0
2020-06-01,123.44,124.41,122.36,123.96,6850100,0,0
2020-06-02,123.59,124.15,122.81,123.94,6395900,0,0
2020-06-03,123.9,123.99,122.66,123.47,6754300,0,0
2020-06-04,122.8,123.89,121.82,122.11,8005000,0,0
2020-06-05,122.57,122.68,119.91,121.56,13112400,0,0
2020-06-08,119.58,121.24,119.46,121.24,9448100,0,0
2020-06-09,121.6,122.0,120.56,121.35,6915400,0,0
2020-06-10,121.56,122.5,121.13,121.16,9380500,0,0
2020-06-11,120.99,122.58,119.48,120.09,11387600,0,0
2020-06-12,120.51,120.75,117.06,117.74,10781100,0,0
