Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,48.8,48.94,46.64,46.94,1185100,0,0
2020-05-14,46.32,47.74,45.25,47.4,1320200,0,0
2020-05-15,46.87,48.09,46.22,47.73,3558600,0,0
2020-05-18,49.84,52.34,49.51,51.92,1454700,0,0
2020-05-19,51.69,52.12,51.07,51.32,826000,0,0
2020-05-20,51.81,53.69,51.65,53.41,810800,0,0
2020-05-21,53.21,55.92,53.21,55.72,1076500,0,0
2020-05-22,55.87,56.55,55.1,56.45,966300,0,0
2020-05-26,58.56,59.0,57.38,57.53,899000,0,0
2020-05-27,59.54,59.96,57.9,58.54,923900,0,0
2020-05-28,59.57,59.57,57.78,58.13,761100,0,0
2020-05-29,57.67,58.51,57.24,57.95,1285200,0,0
2020-06-01,57.79,58.07,56.8,57.96,549600,0,0
2020-06-02,57.89,59.82,57.67,59.63,790800,0,0
2020-06-03,60.16,61.39,59.75,60.21,1099700,0,0
2020-06-04,59.91,61.5,59.43,61.42,842200,0,0
2020-06-05,64.12,64.82,62.87,63.86,934800,0,0
2020-06-08,64.0,65.4,64.0,65.39,817200,0,0
2020-06-09,63.97,64.64,62.88,62.99,553800,0,0
2020-06-10,62.43,62.98,59.98,60.11,1092100,0,0
2020-06-11,58.3,58.99,55.88,56.05,1036000,0,0
2020-06-12,58.29,58.47,55.7,57.02,829800,0,0
