Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,78.74,79.87,75.14,76.77,6993100,0,0
2020-05-14,74.51,78.5,71.2,78.3,5667100,0,0
2020-05-15,76.37,79.14,75.61,77.7,3885000,0,0
2020-05-18,82.52,83.0,80.05,81.47,6591000,0,0
2020-05-19,82.09,85.24,79.73,82.03,5439000,0,0
2020-05-20,84.64,87.28,83.7,86.86,5359300,0,0
2020-05-21,86.22,86.85,82.14,83.15,4382500,0,0
2020-05-22,81.3,81.42,77.52,78.25,7775200,0,0
2020-05-26,82.97,86.17,81.36,84.89,8349800,0,0
2020-05-27,87.56,87.8,82.5,86.93,7608900,0,0
2020-05-28,87.04,87.45,82.61,83.2,5005800,0,0
2020-05-29,81.66,84.93,80.8,83.28,5142800,0,0
2020-06-01,84.13,86.64,83.22,86.47,3707700,0,0
2020-06-02,85.5,86.23,82.55,84.1,5619900,0,0
2020-06-03,85.8,93.75,85.5,93.5,8273900,0,0
2020-06-04,96.98,97.3,91.72,95.38,10517800,0,0
2020-06-05,102.07,104.01,99.29,101.61,10986000,0,0
2020-06-08,106.46,108.93,104.05,108.8,6159100,0,0
2020-06-09,105.38,105.42,101.41,102.76,6115200,0,0
2020-06-10,102.82,103.4,95.18,98.93,6583700,0,0
2020-06-11,90.15,95.3,89.0,89.74,7717400,0,0
2020-06-12,95.14,95.74,89.8,92.31,4914600,0,0
