Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,23.64,24.02,22.33,22.94,2403200,0.0,0
2020-05-14,22.38,23.99,21.65,23.45,1798000,0.22,0
2020-05-15,23.32,24.28,23.22,23.81,1470000,0.0,0
2020-05-18,25.77,27.03,25.49,26.88,2671900,0.0,0
2020-05-19,27.08,27.35,25.55,26.03,2060100,0.0,0
2020-05-20,26.92,27.83,26.72,27.04,1384600,0.0,0
2020-05-21,27.26,27.67,26.94,27.1,2033500,0.0,0
2020-05-22,26.87,26.89,26.2,26.81,1748300,0.0,0
2020-05-26,28.24,28.32,26.76,27.41,1278300,0.0,0
2020-05-27,27.95,27.95,26.65,27.5,1237600,0.0,0
2020-05-28,27.42,27.94,26.94,27.31,1553700,0.0,0
2020-05-29,26.93,26.95,25.86,26.28,1520900,0.0,0
2020-06-01,26.19,27.81,25.86,27.43,1244300,0.0,0
2020-06-02,27.87,28.14,27.55,27.86,1343300,0.0,0
2020-06-03,28.6,29.23,28.06,28.88,1329400,0.0,0
2020-06-04,28.64,29.15,28.19,29.03,1457300,0.0,0
2020-06-05,31.49,32.57,31.33,32.25,1889100,0.0,0
2020-06-08,34.37,34.61,31.76,33.57,1971400,0.0,0
2020-06-09,31.7,32.31,30.55,31.78,2274000,0.0,0
2020-06-10,31.18,31.52,29.78,30.17,2072800,0.0,0
2020-06-11,27.34,29.49,27.0,28.54,1844600,0.0,0
2020-06-12,30.41,30.94,29.01,30.38,1715800,0.0,0
