Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-12,,,,,,0.38,0
2020-05-13,84.08,84.45,81.08,82.07,3134300.0,0.0,0
2020-05-14,81.43,84.55,80.45,84.49,2336300.0,0.0,0
2020-05-15,80.8,83.47,80.7,83.23,3184200.0,0.0,0
2020-05-18,84.65,87.62,84.56,87.16,3425100.0,0.0,0
2020-05-19,87.2,88.98,86.77,86.81,2363900.0,0.0,0
2020-05-20,88.07,89.8,87.28,89.52,3066400.0,0.0,0
2020-05-21,88.71,89.49,86.97,87.24,2463600.0,0.0,0
2020-05-22,86.95,86.99,85.64,86.59,1903600.0,0.0,0
2020-05-26,88.0,89.6,87.79,88.33,2486100.0,0.0,0
2020-05-27,88.13,91.16,87.98,91.04,2640000.0,0.0,0
2020-05-28,90.26,90.99,88.48,89.15,2220400.0,0.0,0
2020-05-29,89.16,92.28,88.9,91.95,2986600.0,0.0,0
2020-06-01,91.69,91.94,90.11,90.85,1826500.0,0.0,0
2020-06-02,90.73,93.18,89.85,93.1,2461600.0,0.0,0
2020-06-03,93.95,96.0,93.62,95.39,2864700.0,0.0,0
2020-06-04,95.0,96.6,94.21,95.68,1831800.0,0.0,0
2020-06-05,96.82,98.17,95.81,96.2,3193200.0,0.0,0
2020-06-08,96.42,97.13,95.64,96.54,2036900.0,0.0,0
2020-06-09,95.77,96.32,94.62,95.83,1647300.0,0.0,0
2020-06-10,96.15,96.2,94.5,95.3,2009600.0,0.0,0
2020-06-11,93.38,93.38,89.68,89.74,3356900.0,0.0,0
2020-06-12,91.43,92.91,88.93,90.7,2617500.0,0.0,0
