Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-12,,,,,,0.87,0
2020-05-13,43.74,43.87,41.6,41.93,30827900.0,0.0,0
2020-05-14,41.07,42.55,40.2,42.3,24856500.0,0.0,0
2020-05-15,42.38,43.01,41.85,42.0,22445600.0,0.0,0
2020-05-18,44.4,45.58,44.06,45.34,32046100.0,0.0,0
2020-05-19,45.55,46.63,43.93,43.94,21771600.0,0.0,0
2020-05-20,44.62,45.58,44.57,45.37,19352400.0,0.0,0
2020-05-21,45.44,45.79,44.39,44.56,19130700.0,0.0,0
2020-05-22,44.05,44.67,43.45,44.6,15406400.0,0.0,0
2020-05-26,45.74,46.3,45.47,45.91,20356500.0,0.0,0
2020-05-27,46.66,47.14,45.41,46.24,20788300.0,0.0,0
2020-05-28,46.43,46.46,44.93,45.04,19698000.0,0.0,0
2020-05-29,44.82,45.69,44.37,45.47,25886200.0,0.0,0
2020-06-01,45.32,46.45,44.8,46.28,19031000.0,0.0,0
2020-06-02,46.86,47.45,46.75,47.31,22319000.0,0.0,0
2020-06-03,48.0,49.4,47.95,49.24,23418000.0,0.0,0
2020-06-04,48.88,49.15,48.16,49.1,18731400.0,0.0,0
2020-06-05,51.65,53.45,51.6,53.08,41328900.0,0.0,0
2020-06-08,54.72,55.36,53.46,54.74,33579400.0,0.0,0
2020-06-09,52.88,53.97,52.45,53.52,27276900.0,0.0,0
2020-06-10,53.5,53.5,50.6,50.65,31156800.0,0.0,0
2020-06-11,47.53,48.84,46.1,46.18,39183000.0,0.0,0
2020-06-12,48.04,48.62,45.91,47.17,30968800.0,0.0,0
