Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,36.94,37.51,36.32,37.34,3220400,0,0
2020-05-14,36.86,37.88,36.12,37.88,2929800,0,0
2020-05-15,37.82,38.67,37.14,37.71,5570700,0,0
2020-05-18,38.54,40.92,38.49,40.57,2580800,0,0
2020-05-19,40.57,41.64,39.88,41.08,2696800,0,0
2020-05-20,41.29,41.87,40.77,41.7,2260200,0,0
2020-05-21,41.6,42.59,41.17,41.96,1938700,0,0
2020-05-22,41.88,42.59,40.63,42.24,2015400,0,0
2020-05-26,43.39,45.42,43.39,45.33,2846700,0,0
2020-05-27,46.96,47.91,46.49,47.79,3521400,0,0
2020-05-28,47.98,48.14,46.82,46.99,2610000,0,0
2020-05-29,46.61,46.87,45.81,46.52,2465200,0,0
2020-06-01,46.24,47.46,45.92,47.1,1075600,0,0
2020-06-02,47.43,47.75,46.83,47.37,1871100,0,0
2020-06-03,48.09,49.07,47.63,47.84,1946200,0,0
2020-06-04,47.65,48.47,47.09,48.04,1425200,0,0
2020-06-05,49.18,50.92,49.18,50.18,2303800,0,0
2020-06-08,49.99,51.35,49.93,51.17,1632000,0,0
2020-06-09,50.6,50.97,48.34,48.51,1716200,0,0
2020-06-10,48.22,48.24,46.49,46.51,2355300,0,0
2020-06-11,45.73,45.81,42.96,43.37,2720700,0,0
2020-06-12,44.89,44.89,42.45,43.38,1978600,0,0
