Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,16.67,16.69,15.17,15.37,3952200,0,0
2020-05-14,14.96,15.4,14.22,15.39,3114300,0,0
2020-05-15,14.98,15.1,14.61,14.89,3363400,0,0
2020-05-18,15.66,16.9,15.63,16.78,4390600,0,0
2020-05-19,16.65,17.6,16.26,17.38,3572200,0,0
2020-05-20,17.64,18.05,17.14,17.24,3668500,0,0
2020-05-21,17.19,17.65,17.02,17.24,2337800,0,0
2020-05-22,17.24,17.38,16.74,16.98,1624200,0,0
2020-05-26,17.89,18.07,17.42,17.43,3506400,0,0
2020-05-27,18.0,18.1,17.51,18.09,2878400,0,0
2020-05-28,18.0,18.1,16.78,16.81,4849200,0,0
2020-05-29,16.61,16.7,15.82,15.88,20755300,0,0
2020-06-01,16.0,17.07,15.85,17.0,4494500,0,0
2020-06-02,17.2,17.52,17.02,17.21,4156400,0,0
2020-06-03,17.54,18.42,17.5,17.95,3696200,0,0
2020-06-04,17.84,18.08,17.45,17.68,3440300,0,0
2020-06-05,18.95,19.36,18.43,18.46,5480800,0,0
2020-06-08,19.94,20.22,19.2,19.87,4873300,0,0
2020-06-09,19.33,19.38,18.71,18.92,4369100,0,0
2020-06-10,18.93,19.05,17.8,17.8,3582500,0,0
2020-06-11,16.59,16.89,16.02,16.06,4432600,0,0
2020-06-12,16.94,17.17,16.28,17.06,4209600,0,0
