Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,58.69,58.91,56.93,57.98,1387400,0.0,0
2020-05-14,57.15,58.8,56.4,58.72,1627700,0.0,0
2020-05-15,58.37,59.48,57.58,57.96,985200,0.0,0
2020-05-18,59.87,62.2,59.61,61.77,1052500,0.0,0
2020-05-19,61.38,62.04,60.27,60.33,1113400,0.0,0
2020-05-20,61.22,62.62,61.09,61.83,806400,0.0,0
2020-05-21,61.47,62.7,61.47,61.72,870300,0.0,0
2020-05-22,61.66,62.0,61.25,61.97,735600,0.0,0
2020-05-26,63.86,65.61,63.42,64.99,1510400,0.0,0
2020-05-27,66.67,69.34,66.2,68.86,2397400,0.26,0
2020-05-28,69.26,69.44,67.5,68.16,1306200,0.0,0
2020-05-29,67.43,67.82,65.35,66.34,1624600,0.0,0
2020-06-01,66.34,66.93,65.99,66.0,824200,0.0,0
2020-06-02,66.7,68.34,66.25,67.9,1187700,0.0,0
2020-06-03,68.9,70.58,68.4,70.08,989400,0.0,0
2020-06-04,69.39,70.38,68.61,70.38,1051000,0.0,0
2020-06-05,73.05,73.93,71.81,72.75,1188600,0.0,0
2020-06-08,72.37,73.51,71.82,72.3,874400,0.0,0
2020-06-09,70.82,70.98,69.6,70.27,1174600,0.0,0
2020-06-10,70.01,70.19,67.86,68.51,1184200,0.0,0
2020-06-11,66.2,66.2,63.67,63.8,2020800,0.0,0
2020-06-12,65.59,66.09,62.37,64.16,1607500,0.0,0
