Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,82.96,83.34,78.86,80.02,2809100,0.0,0
2020-05-14,78.79,83.06,77.18,82.86,2684200,0.0,0
2020-05-15,82.15,84.87,81.67,84.46,3998200,0.0,0
2020-05-18,87.3,87.98,85.53,86.31,2550100,0.0,0
2020-05-19,85.76,87.72,85.01,86.41,2066400,0.0,0
2020-05-20,87.99,87.99,86.69,87.63,2653800,0.0,0
2020-05-21,87.59,87.81,86.24,87.55,2235900,0.0,0
2020-05-22,87.96,88.01,85.64,86.8,2247700,0.0,0
2020-05-26,89.33,90.47,87.42,87.59,3680800,0.0,0
2020-05-27,88.96,90.17,88.3,89.77,4590700,0.0,0
2020-05-28,90.61,91.31,88.23,90.85,4065700,0.47,0
2020-05-29,90.28,90.92,88.51,89.73,14610100,0.0,0
2020-06-01,89.89,91.35,89.42,90.52,2014100,0.0,0
2020-06-02,91.19,92.5,90.8,92.21,2483900,0.0,0
2020-06-03,93.25,95.86,92.92,94.56,2667100,0.0,0
2020-06-04,94.41,95.64,93.79,94.99,2537000,0.0,0
2020-06-05,97.75,98.28,95.52,96.52,3722800,0.0,0
2020-06-08,96.5,96.87,95.51,95.99,2748000,0.0,0
2020-06-09,95.0,96.35,93.91,95.56,2063200,0.0,0
2020-06-10,95.43,95.72,93.41,94.09,2418600,0.0,0
2020-06-11,92.01,92.92,89.85,90.67,2540500,0.0,0
2020-06-12,92.85,92.99,89.67,91.28,1806400,0.0,0
