Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,113.0,113.54,109.38,111.07,1913900,0,0
2020-05-14,109.18,112.63,108.78,112.1,1611600,0,0
2020-05-15,111.14,112.92,110.53,112.39,855700,0,0
2020-05-18,117.0,123.77,116.29,122.67,2375900,0,0
2020-05-19,122.53,125.5,122.28,123.95,1519000,0,0
2020-05-20,125.3,127.2,124.87,126.6,1403000,0,0
2020-05-21,125.42,125.97,120.65,122.0,2490200,0,0
2020-05-22,122.0,123.6,121.17,123.4,1027400,0,0
2020-05-26,127.7,129.52,126.39,126.74,1967500,0,0
2020-05-27,128.31,129.97,127.0,128.34,1494300,0,0
2020-05-28,129.49,130.38,127.72,127.99,959000,0,0
2020-05-29,128.52,128.52,123.54,126.34,1345800,0,0
2020-06-01,125.98,128.65,125.86,127.88,612000,0,0
2020-06-02,128.6,129.07,127.39,128.48,1031900,0,0
2020-06-03,129.09,134.1,128.38,130.37,1382400,0,0
2020-06-04,129.45,132.12,128.98,129.51,1150400,0,0
2020-06-05,134.09,139.34,133.5,137.4,1879900,0,0
2020-06-08,137.4,139.43,135.7,136.5,1330900,0,0
2020-06-09,134.87,136.8,132.06,134.14,1658500,0,0
2020-06-10,135.09,137.47,133.17,134.29,1981300,0,0
2020-06-11,130.0,130.1,120.83,121.14,1937300,0,0
2020-06-12,125.01,126.08,121.09,125.19,1853700,0,0
