Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,230.92,231.56,220.52,223.08,445800,0,0
2020-05-14,219.49,222.13,215.52,221.77,457000,0,0
2020-05-15,219.35,220.76,216.65,217.8,383100,0,0
2020-05-18,226.5,237.34,223.86,235.8,571100,0,0
2020-05-19,236.11,243.93,235.78,240.55,489900,0,0
2020-05-20,242.0,243.17,239.99,241.49,369900,0,0
2020-05-21,242.09,246.35,241.01,244.15,286900,0,0
2020-05-22,243.75,245.55,240.46,243.54,301600,0,0
2020-05-26,250.0,259.35,246.69,255.96,558900,0,0
2020-05-27,257.29,261.24,254.12,258.67,501900,0,0
2020-05-28,258.24,263.69,256.92,257.42,334000,0,0
2020-05-29,257.86,261.99,254.1,261.32,490700,0,0
2020-06-01,259.33,266.22,258.02,264.97,294100,0,0
2020-06-02,265.94,267.08,261.66,264.09,266000,0,0
2020-06-03,267.48,272.0,265.04,269.02,334400,0,0
2020-06-04,266.97,267.36,259.26,261.17,345100,0,0
2020-06-05,265.17,278.55,263.89,277.55,438200,0,0
2020-06-08,273.59,278.6,271.99,277.06,284200,0,0
2020-06-09,273.28,275.55,269.97,270.32,316000,0,0
2020-06-10,270.46,271.18,266.83,267.08,232400,0,0
2020-06-11,259.83,260.8,249.62,250.19,349300,0,0
2020-06-12,258.99,260.08,253.06,258.33,305200,0,0
