Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,123.53,125.07,121.75,123.03,1879000,0,0
2020-05-14,122.07,126.53,121.5,126.03,2246800,0,0
2020-05-15,126.44,127.96,125.31,127.49,2921700,0,0
2020-05-18,130.18,132.54,129.8,131.42,2762800,0,0
2020-05-19,131.05,135.76,130.08,134.34,3335300,0,0
2020-05-20,136.2,137.07,133.04,133.34,2303400,0,0
2020-05-21,133.79,133.89,129.9,130.33,1413100,0,0
2020-05-22,129.6,130.78,128.88,130.11,1602400,0,0
2020-05-26,131.42,132.91,130.14,130.45,2322300,0,0
2020-05-27,133.7,135.71,130.85,135.64,2287000,0,0
2020-05-28,137.81,140.24,137.46,138.11,2367800,0,0
2020-05-29,138.44,139.65,134.95,139.39,2814500,0,0
2020-06-01,138.65,139.1,137.07,138.34,1413000,0,0
2020-06-02,138.67,141.51,138.22,141.48,1649100,0,0
2020-06-03,141.65,143.21,140.67,142.53,1459500,0,0
2020-06-04,141.02,142.26,139.4,140.52,1524800,0,0
2020-06-05,141.53,142.43,139.35,141.01,1947800,0,0
2020-06-08,139.0,141.35,137.67,141.3,1747300,0,0
2020-06-09,140.88,141.79,138.47,138.8,1622500,0,0
2020-06-10,139.25,141.22,138.75,139.91,1731100,0,0
2020-06-11,137.67,138.09,130.71,131.06,2524000,0,0
2020-06-12,134.37,136.21,131.31,134.07,1638500,0,0
